Syzkaller,SyzChurn,SR (T=30),SR (T=90)
7231.0,10080.0,7056.7,8163.3
9045.0,10080.0,10080.0,8901.0
10080.0,10080.0,10080.0,8953.3
10080.0,7083.3,6803.0,10080.0
10080.0,10080.0,10080.0,7535.3
10080.0,10080.0,10080.0,7502.7
4593.0,4780.7,6863.7,7349.7
6933.3,6830.7,10080.0,6895.3
10080.0,10080.0,9589.7,10080.0
10080.0,8616.3,10080.0,10080.0
9017.0,8277.0,8695.0,6460.0
7546.7,10080.0,7170.0,6376.7
8581.7,10080.0,10080.0,8679.0
10080.0,6959.7,3887.0,10080.0
7689.3,7077.7,9067.0,5827.0
10080.0,10080.0,10080.0,9052.3
10080.0,10080.0,8027.3,10080.0
8177.7,9151.3,6379.7,4858.3
7884.3,10080.0,10080.0,10080.0
10080.0,10080.0,8017.7,8098.3
10080.0,10080.0,7452.7,10080.0
7549.7,10080.0,6738.7,10080.0
10080.0,10080.0,4721.3,7471.7
10080.0,10080.0,8827.7,9514.3
8739.0,10080.0,10080.0,10080.0
7177.7,10080.0,10080.0,10080.0
5886.0,8501.0,6232.3,7578.0
10080.0,10080.0,8203.3,10080.0
9048.0,7251.7,9762.7,6980.0
10080.0,10080.0,7782.7,10080.0
6027.7,5832.7,1913.3,4746.0
10080.0,10080.0,9672.7,10080.0
9526.0,10080.0,10080.0,10080.0
7658.3,10080.0,9710.3,9881.0
7662.7,10080.0,10080.0,7996.0
8376.7,10080.0,10080.0,10080.0
10080.0,10080.0,10080.0,9481.3
8573.7,4720.0,10080.0,6517.3
6950.3,10080.0,10080.0,10080.0
1657.0,393.0,579.7,1009.7
10080.0,10080.0,8070.7,10080.0
8543.7,6979.0,8221.3,6897.7
6801.7,6800.0,10080.0,6802.0
1011.0,3721.0,2021.0,1801.0
10080.0,10080.0,6793.3,10080.0
10080.0,10080.0,7860.3,10080.0
10080.0,3661.0,3675.0,2205.7
1921.3,716.7,472.7,1447.3
7980.0,7681.3,5175.7,7926.3
10080.0,8803.0,10080.0,10080.0
10080.0,10080.0,9324.3,10080.0
8486.0,10080.0,10080.0,7125.3
2552.3,2654.7,716.0,3212.3
8771.3,9548.0,10080.0,10080.0
10080.0,10080.0,10080.0,9531.0
8073.7,9666.3,10080.0,7905.3
10080.0,10080.0,7920.7,10080.0
7254.0,7201.3,10080.0,7494.7
7020.3,10080.0,6696.0,6220.0
10080.0,10080.0,7200.3,10080.0
10080.0,10080.0,8620.3,7256.3
2306.7,1703.3,1802.0,1944.0
